YouTube,status,name,track,day,organization,photo,linkedin,linkedin2,twitter,twitter2,title,abstract,description,bio
,keynote,Miko Pawlikowski,1,1,"Tech Author, Podcast Host",Miko Pawlikowski DnD.png,https://www.linkedin.com/in/mikolajpawlikowski/,,@mikopawlikowski,,Keynote: 7 Deadly Traps of SRE,"Site Reliability Engineering was never meant to be about firefighting, yet too many teams find themselves stuck in an endless cycle of pages, postmortems, and quick fixes. Why? Because SRE is full of hidden traps — patterns that look like best practices on the surface but slowly erode reliability, burn out engineers, and stall progress.

In this talk, we’ll expose the 7 Deadly Traps of SRE, from the obsession with chasing “five nines,” to the cult of on-call heroism, to the false comfort of tooling and checklists. For each trap, we’ll unpack why it’s so seductive, how it quietly sabotages your team, and what to do instead.

You’ll walk away with a clearer lens on the pitfalls holding SRE organizations back, and a practical playbook to help your team escape firefighting mode and reclaim the true purpose of SRE: building systems - and cultures - that are resilient, scalable, and human-friendly.",,"Miko Pawlikowski is an SRE Author and a platform engineer at Quadrature. He has led large-scale infrastructure and SRE initiatives at Citadel and Bloomberg, with deep expertise in Kubernetes, cloud computing, and chaos engineering. Passionate about building resilient systems and communities, he brings together engineers worldwide through conferences and media projects."
,confirmed,Akash Thakur,1,1,Cognizant,Akash Thakur DnD.png,https://www.linkedin.com/in/akash-thakur-00367a155/,,,,AI Reliability Engineering (AIRE): Building Systems We Can Actually Trust,"AI systems are rapidly evolving from assistive tools into autonomous decision-makers operating in production environments. While most organizations still evaluate AI success primarily through accuracy, latency, or model performance—often overlooking reliability, failure modes, and human trust.

In this talk, I will introduce AI Reliability Engineering (AIRE)—an emerging discipline that applies Site Reliability Engineering principles to AI-driven systems. I will explore how AI fails differently than traditional software, why AI-related incidents often go undetected, and how foundational SRE concepts such as SLOs, error budgets, observability, and graceful degradation must evolve to support reliable AI workloads at scale.",,"Akash Thakur is a Site Reliability Engineering leader and IT Architect with 17+ years of experience modernizing mission-critical systems across finance, healthcare, and the public sector. He currently serves as an SRE Architect at Cognizant, where he leads automation-first SRE and AI-driven resilience initiatives for Fortune 500 enterprises. He writes and speaks on the evolving intersection of SRE and AI infrastructure"
,confirmed,Adithya Jakkaraju,1,1,HCLTech,Adithya Jakkaraju DnD.png,https://www.linkedin.com/in/adithya-jakkaraju/,,,,Predicting Outages Before They Page You,"Most production failures don’t strike without warning; they leave behind weak signals that teams learn to ignore. In this talk, I’ll share how operating large cloud-native systems moved beyond dashboards, alert tuning, and postmortems to identify and act on those signals before incidents escalated to major severity. Using real production examples, I’ll walk through how logs, metrics, and traces can be combined with simple machine-learning techniques to surface early indicators of failure. This isn’t about replacing engineers with AI, it’s about evolving Ops practices to reduce alert fatigue, improve operational intuition, and give teams more quiet nights on call.",,"Adithya Jakkaraju is a Technical Architect at HCLTech and Founder of Fit Choice World, with prior experience leading engineering initiatives at USAA and consulting for Boston University. He brings a blend of enterprise technical leadership and entrepreneurial execution across hybrid and on-site environments."
,confirmed,Avinash Sabat,1,1,Synechron / UBS,Avinash Sabat DnD.png,https://www.linkedin.com/in/avinashsabat/,,,,"One Repo to Rule Them All: GitOps Across the Realms of Dev, Staging, and Production","In every fantasy world, chaos erupts when realms drift apart - and modern platforms are no different. Development, staging, and production environments often diverge, creating configuration drift, broken releases, and late-night firefighting.

This talk explores how GitOps becomes the single source of truth, binding all environments under one declarative contract. We’ll walk through practical patterns for environment overlays, progressive promotion, and policy enforcement — ensuring that what is tested in one realm is exactly what reaches the final battlefield: production.",,"Avinash Sabat is a Principal Cloud DevOps Engineer with over 14  years of experience designing, automating, and scaling infrastructure in the financial services sector. He specializes in Kubernetes, Azure, AWS, and GitLab CI/CD, with deep expertise in Infrastructure as Code using Terraform and Helm. Avinash has built enterprise-grade platforms that improve application deployment velocity, system resilience, and automation efficiency. 

"
,confirmed,Mahender Mangalasri,1,1,Cognizant,Mahender Mangalasri DnD.png,https://www.linkedin.com/in/mahender-m-b4242425/,,,,Slaying Dragons & Goblins: Securing the Code in the DevSecOps Dungeon,"Dependency Dragons and Code Goblins are the hidden security threats buried in builds, originating from unvetted third-party dependencies and the insecure code developed. Dependency Dragons lurk inside third-party libraries , while Code Goblins appear from improper secure coding practices.",,"Mahender is a Cybersecurity consultant, currently working as an AppSec manager with a Global consulting firm. He has over a decade of experience in securing web applications, APIs, and Databases across diverse enterprises and Lines of Business. He is a Senior IEEE member, ISC2 NJ Chapter Member, Mentor & a Speaker."
,confirmed,Birol Yildiz,1,1,ilert,Birol Yildiz DnD.png,https://www.linkedin.com/in/birolyildiz/,,@birol_yildiz,,When Incidents Fix Themselves: AI SRE in action,"The next evolution of incident response isn’t faster alerts, it’s autonomous resolution. Join ilert CEO Birol Yildiz as he shows how AI SRE agents now diagnose and remediate outages without waking anyone up. Learn how these systems combine observability data, deployment context, and code intelligence to restore services in minutes and hand over clean incident reports instead of 3 a.m. pages.",,"Birol Yildiz is the Co-founder and CEO of ilert, adeptly steering the company with a rare combination of technical and product expertise. His prior experience includes a significant role as Chief Product Owner for Big Data products at REWE Digital. With a strong foundation in computer science, Birol bridges the gap between developer and product strategist, constantly striving to innovate and provide customer-centric solutions at ilert."
,confirmed,Jessica Garson,1,1,,Jessica Garson DnD.png,https://www.linkedin.com/in/jessica-garson/,,,,The DevOps of Live Coding,"For the past 10 years, I’ve created live-coded music and audio-reactive visual art under the name Messica Arson. This talk will cover my tools, my creative process for sound and visuals, and how I’ve built reliable artistic systems. 

For this talk, I’ll focus on points of failure, lessons learned, and practical solutions, ranging from troubleshooting scripts to touring checklists for venues with varying constraints and internet access concerns.

Whether you’ve coded on stage or deployed to production at 2 a.m., this talk shows how to design systems that withstand pressure and unpredictability.",,"Jessica Garson is a Developer Relations leader with 15 years of experience, having held senior roles at Elastic and Twitter. She is active in the Python, JavaScript, developer tooling, and creative coding communities, and has spoken globally at conferences including PyCon, Write the Docs, and PyOhio.

Based in New York City, Jessica has been part of the creative coding scene since 2017 and runs RAID, an art and technology meetup. Under the name Messica Arson, she creates noise music and visual art using modular synthesizers and live coding."
,confirmed,Lenin Algubelli,1,1,Cybersource,Lenin Algubelli DnD.png,https://www.linkedin.com/in/leninreddy/,,,,"Frictionless Retail at Scale: AI, Biometrics, and the DevOps Behind It","AI, biometrics, and frictionless checkout systems are transforming retail—but scaling these technologies requires more than innovation at the edge. This talk reveals how DevOps, automation, and resilient system design enable sub-second transactions.",,"Lenin Reddy Algubelli is a seasoned Software Quality Engineering professional with over 18 years of experience in functional and automation testing across highly distributed and complex systems, including web and desktop applications. With more than 8 years in QA leadership roles, he has led teams and delivered robust quality assurance strategies leveraging Agile, Scrum, Waterfall, and TDD methodologies.
His expertise spans across manual and automated testing, with hands-on proficiency in tools such as Selenium WebDriver/TestNG, Quality Center/ALM, JIRA, Postman, and SOAP UI. Lenin has specialized experience in developing hybrid automation frameworks, creating and executing test cases, and performing comprehensive testing types including GUI, regression, integration, system, UAT, performance, stress, security, and mobile testing. He has also contributed extensively to accessibility testing aligned with WCAG and Visa standards.
Throughout his career, Lenin has worked with leading organizations such as CyberSource, Texas Workforce, Visa Inc., Department of Family and Protective Services, Wells Fargo, Polaris Software Lab, and Lionbridge Technologies. His roles have consistently involved designing and executing test plans, automating regression suites, performing API testing with REST/SOAP services, and implementing CI/CD processes with Jenkins and Maven.
He holds a Master’s degree in Computer Science from Kakatiya University and a Bachelor’s degree in Computer Science from Osmania University. His professional certifications include ISEB-ISTQB, HP QTP/QC, Business English Certificate, and Project Management Lite.
With deep domain expertise in BFSI, mortgage and lending, payments, and CRM (PeopleSoft) applications, Lenin combines strong analytical and organizational skills with a collaborative mindset. His track record demonstrates a consistent ability to ensure business compliance, enhance product quality, and drive efficiency across testing life cycles."
,confirmed,Nandakishor Koka,1,1,Disney,Nandakishor Koka DnD.png,https://www.linkedin.com/in/nandakishorkoka/,,,,Coming soon...,,,"Nandakishor Koka is a Principal Technical Architect at The Walt Disney Company, specializing in engineering management, data platforms, and large-scale analytics solutions. With prior roles including Principal Data Scientist at Fractal Analytics and leadership positions at Mu Sigma and Infosys, he brings more than two decades of experience architecting enterprise data systems, building machine learning solutions, and leading cross-functional engineering teams."
,confirmed,Mallory Haigh,1,1,Humanitec,Mallory Haigh DnD.png,https://www.linkedin.com/in/mallory-haigh/,,,,Coming soon...,,,"Mallory Haigh is Director of Customer Success at Humanitec, where she builds and scales global customer success and platform enablement teams. She partners with platform engineering leaders to drive adoption of internal developer platforms, blending deep technical experience with a strong focus on developer experience and organizational change."
